Brand_Id,P_Id,Name,Price,Colour,Brand_Name,Ratingcount,Avg_Rating,Description,Occasion,Pattern,Print or Pattern Type,Fabric,Wash Care,Sustainable,Body or Garment Size,Closure,Length,Number of Pockets
890.0,19136854,The Souled Store Women Navy Blue & Red Wonder Women Logo Windcheater Outdoor Sporty Jacket,2499.0,Navy Blue,The Souled Store,0,0.0,navy blue colourblocked solid windcheater sporty jacket hooded pockets snap button closure long sleeves hem toggle hemline polyester liningthe model height wearing size polyester hand wash,Casual,Solid,Solid,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Zip,Mini,NA
287.0,18451644,Fashion Basket Women Pink Lehenga Choli,3699.0,Pink,Fashion Basket,51,3.3,color lehenga color pink blouse color pink duptta color pink inner color pink fabric lehenga fabric organza blouse fabric net duptta fabric net inner fabric satin length lehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr work amp stitched type lehenga work printed amp sequence work blouse work emrodery amp sequence work duptta work emrodery amp sequence work stitched type semi stitched wash care wash care dry clean first wash hand washlehenga fabric organza blouse fabric net duptta fabric net inner fabric satin wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr fit regular,Casual,Printed,NA,Polyester,Machine Wash,Regular,Garment Measurements in,NA,NA,NA
287.0,19282780,Fashion Basket Black & Pink Embroidered Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,5499.0,Black,Fashion Basket,0,0.0,black pink embroidered lehenga choli dupatta black pink embroidered unstitched blouse round neck short sleeves black pink embroidered semi stitched lehenga flared hem black pink solid dupatta solid borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr fit regularlehenga fabric taffeta silk blouse fabric tafeta silk duptta fabric net inner fabric crape wash care dry clean first wash hand wash,Casual,Self Design,Self Design,Wool,Dry Clean,NA,Garment Measurements in,Zip,Regular,2
287.0,18685532,Fashion Basket Maroon & Orange Printed Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Maroon,Fashion Basket,0,0.0,maroon orange printed lehenga choli dupatta maroon orange printed unstitched blouse v neck sleeveless maroon orange solid semi stitched lehenga slip closure flared hem maroon orange solid dupatta taping borderlehenga fabric organza blouse fabric net duptta fabric net inner fabric satin wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr,Casual,Printed,Graphic,Polyester,Machine Wash,Regular,Garment Measurements in,Snap Button,Longline,NA
287.0,18824644,Fashion Basket Blue & Silver-Toned Embroidered Semi-Stitched Lehenga &,4299.0,Blue,Fashion Basket,7,3.4,blue silver toned embroidered lehenga choli blue silver toned embroidered semi stitched blouse round neck short sleeves blue silver toned embroidered semi stitched lehenga flared hem blue silver toned embellished dupatta borderlehenga fabric fox georgette blouse fabric fox georgette duptta fabric net inner fabric creap wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr fit regular,Casual,Solid,Solid,Viscose Rayon,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Zip,Cropped,2
287.0,18831424,Fashion Basket Red & Pink Embroidered Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,4699.0,Red,Fashion Basket,0,0.0,red pink embroidered lehenga choli dupatta red pink embroidered unstitched blouse u neck short sleeves red pink embroidered semi stitched lehenga flared hem red pink embellished dupatta solid borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr fit regularlehenga fabric organza blouse fabric banglori duptta fabric net inner fabric satin wash care dry clean first wash hand wash,Casual,Striped,Striped,Polyester,Machine Wash,Regular,To-Fit Denotes Body Measurements in,Zip,Mini,NA
287.0,18999202,Fashion Basket Blue & Pink Embroidered Sequinned Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3299.0,Blue,Fashion Basket,0,0.0,blue pink embroidered lehenga choli dupatta sequinned blue pink embroidered unstitched blouse sleeveless blue pink printed semi stitched lehenga zip closure flared hem blue pink embellished dupatta taping borderlehenga fabric organza silk blouse fabric net duptta fabric net inner fabric satin wash care dry clean first wash hand washlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr attachment blouse inner attach size mtr,Party,Solid,NA,Polyester,Machine Wash,Regular,Garment Measurements in,Concealed Zip,NA,NA
287.0,18704018,Fashion Basket Beige & Red Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,3699.0,Beige,Fashion Basket,0,0.0,beige red solid lehenga choli dupatta beige red solid unstitched blouse short sleeves beige red printed semi stitched lehenga zip closure flared hem beige red printed dupatta tassels borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr lehenga fabric gota satin silk blend blouse fabric raw silk fentam duptta fabric zarna chanderi inner fabric creap wash care dry clean first wash hand wash,Casual,Solid,NA,Viscose Rayon,Machine Wash,Regular,Garment Measurements in,Zip,NA,NA
287.0,17792712,Fashion Basket Turquoise Blue & Orange Printed Semi-Stitched Lehenga Choli,4899.0,Turquoise Blue,Fashion Basket,17,3.2,turquoise blue orange printed lehenga choli dupatta turquoise blue orange printed unstitched blouse round neck long sleeves turquoise blue orange printed semi stitched lehenga zip closure flared hem turquoise blue orange printed dupatta taping borderlehenga flare lehenga length lehenga waist size blouse length duptta length mlehenga fabric georgette blouse fabric georgette duptta fabric organza inner fabric satin dry clean,Casual,Printed,NA,Polyester,Machine Wash,Regular,Garment Measurements in,Zip,NA,2
287.0,17792718,Fashion Basket Red & Pink Printed Semi-Stitched Lehenga & Unstitched Blouse With Dupatta,4899.0,Red,Fashion Basket,13,3.5,red pink floral printed lehenga choli dupatta unstitched blouse round neck short sleeves button closuresemi stitched lehenga zip closure flared hemred pink embellished dupatta taping borderlehenga flare mtr lehenga length inch lehenga waist size inch blouse length mtr duptta length mtr lehenga fabric jari gota blouse fabric jari gota duptta fabric net inner fabric crepe wash care dry clean first wash hand wash,Casual,Striped,NA,Polyester,Machine Wash,Regular,Garment Measurements in,Zip,NA,NA
