P_Id,Pattern
16045510,Printed
14444766,Solid
14444602,Printed
13237922,Printed
16190840,Printed
12134668,Yoke Design
14277162,Printed
14925534,Printed
2322792,Printed
15427372,Printed
14925594,Printed
15096478,Solid
12135222,Checked
17090142,Printed
13905666,Solid
13238030,Embroidered
17417200,Yoke Design
15096666,Printed
14925506,Printed
17049104,Woven Design
17455868,Solid
14122516,Printed
18331160,Checked
18331088,Printed
17104772,Printed
17417186,Checked
14663998,Printed
16259426,Checked
18533904,Printed
13905672,Embroidered
14884574,Printed
13995752,Printed
17049100,Printed
10777548,Printed
15096546,Woven Design
14854744,Solid
15444504,Self Design
17090710,Striped
16045368,Striped
17744474,Printed
14854916,Printed
16707392,Printed
17090216,Solid
16272186,Printed
13903242,Embroidered
15578002,Printed
16190856,Solid
16259280,Printed
17876132,Solid
15427276,Printed
12135352,Printed
14121912,Printed
14224034,Embroidered
17423996,Solid
17096048,Printed
17093944,Printed
18156354,Printed
12893562,Printed
17447636,Printed
13392426,Printed
17447640,Printed
17413232,Printed
16331376,Printed
11053762,Printed
16332184,Printed
16332192,Printed
13956726,Printed
16331364,Printed
10520842,Solid
10942392,Solid
15635998,Solid
10942386,Solid
17141704,Solid
10942376,NA
17413246,NA
18036636,Washed
14566000,Washed
18587700,Solid
18594044,Printed
18548530,Printed
18548526,Solid
18548534,Solid
18453090,Striped
18622602,Solid
18622598,Solid
18453094,Solid
18453092,Solid
18587696,Self Design
18622596,Self Design
18841352,Solid
18841642,Solid
18888534,Solid
18838374,Solid
18839638,Solid
18841010,Self Design
18838348,Self Design
18838322,Solid
18839854,Printed
18841536,Solid
18839682,NA
18839620,Printed
18838318,NA
18923268,Printed
18841400,Solid
18841402,Solid
18841388,Self Design
18838288,Self Design
18841004,Solid
18840042,Colourblocked
18841582,Printed
18838354,Self Design
18839700,Self Design
18841354,Solid
18839688,Printed
18888648,Self Design
18839342,Solid
18838276,Printed
18838300,Solid
18841082,Solid
18840960,Solid
18838296,Self Design
18841540,Solid
18841008,Solid
18841600,Printed
18841126,Solid
18839836,Self Design
18839830,Printed
18840060,Solid
18839586,Solid
18839764,Solid
18888562,Solid
18839798,Solid
18839616,Solid
18839692,Solid
18839872,Solid
18839804,Solid
18839800,Printed
18839356,NA
18839946,NA
18839282,Solid
18839592,Solid
18839240,Solid
18839322,NA
18840036,Solid
18841450,Solid
18888496,NA
18840966,Solid
18888638,Self Design
18839926,Striped
18839884,Solid
18841584,NA
18841408,Solid
8317561,Self Design
8506567,Solid
13186664,Solid
13526690,Solid
5709433,NA
5865436,NA
15689220,Solid
17037494,Solid
11773472,Solid
14231672,Solid
17046802,Solid
13526722,Printed
14431804,Solid
14393210,Solid
16295592,Solid
17011486,Solid
17037430,Solid
17037532,NA
17037520,NA
14231612,NA
19183530,Printed
17139194,Solid
17011456,NA
16045618,Colourblocked
16045626,NA
17836268,NA
18920518,NA
16294398,NA
16294574,NA
14372466,NA
16898642,NA
18473518,NA
15689218,NA
14434642,NA
19183514,NA
17011468,NA
15689184,NA
14231718,Colourblocked
10942736,NA
11035316,NA
11656304,NA
10617824,NA
10696608,NA
15283578,Solid
15283580,Solid
10942702,NA
11406918,NA
13664942,Solid
15283572,NA
17850160,NA
10946132,NA
10728892,NA
16272474,NA
13664934,NA
15283584,NA
17850182,NA
13650616,NA
16495324,NA
15283590,Solid
10696602,Solid
10451688,Solid
10451500,Self Design
10451734,Printed
2138931,Solid
18156554,Solid
18135212,Solid
15662806,Solid
10451800,Solid
10451558,Solid
13719116,Solid
13736998,Solid
14063400,Solid
17251600,Solid
17761838,Solid
18121952,Solid
17761824,Embellished
18121954,Solid
17761828,Solid
11151684,Solid
11035298,Solid
18121932,Solid
15300920,Solid
15301002,Solid
17761814,Solid
13709580,Solid
18121942,Solid
13736992,Printed
18961738,Self Design
13719140,Printed
18121946,Embellished
15301014,Printed
11637516,Solid
14164130,Solid
17256464,Self Design
14164138,Solid
12086086,Solid
12086090,Printed
11151706,Solid
15900666,Solid
17132226,Printed
16002966,Solid
15301054,Self Design
13566226,Solid
13597070,Printed
15300980,Embroidered
17132282,Colourblocked
10758220,Printed
10758214,Solid
15715744,Solid
17253024,Self Design
7784761,Printed
16002984,Solid
16575604,Solid
18076054,Solid
14827892,Colourblocked
14164190,Solid
13023122,Solid
17729400,Solid
12948006,Solid
12948030,Solid
17715932,Solid
12775456,Solid
11634536,Solid
18076072,Solid
18963012,Solid
12294280,Solid
12294276,Solid
14164210,Solid
16588240,Solid
16003188,Solid
17132280,Solid
7779375,Solid
14024558,Solid
6552292,Striped
19308926,Solid
19304192,NA
19011234,NA
19304204,Self Design
18337748,NA
19011232,Self Design
16600180,Solid
18731952,Solid
16600166,Solid
17447590,Printed
16858648,Solid
18163884,Solid
18640792,Solid
19047464,Solid
16604256,Solid
16222788,NA
17480874,Solid
17444238,NA
19224138,NA
18650758,NA
16476788,Printed
16648428,Printed
17894044,Printed
15768512,Printed
17548400,Printed
17916328,Printed
15940072,Printed
18357686,Printed
11105132,Self Design
17444242,Printed
18767994,Printed
14120438,Printed
14128266,Printed
17420724,Printed
18464870,Printed
13020634,Solid
17355370,Printed
13718888,Solid
13020628,Solid
18052098,Solid
13020642,Solid
18488956,Printed
17168254,Printed
17168250,Solid
18052092,Solid
18262776,Printed
15485484,Printed
18922836,Printed
15447990,Printed
13676002,Solid
18922178,Printed
13675970,Printed
16524822,Printed
17168268,Printed
16524698,Printed
15760840,Printed
15595544,Printed
17232410,Printed
18921114,Printed
